"Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Product URL","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","Shipping Class","Download File Name","Download File URL Path","Download Limit","Download Expiry","Download Type","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","External URL","Button Text","Purchase Note","Product Status","Enable Reviews","Sort Order","Advanced Google Product Feed - Availability","Advanced Google Product Feed - Condition","Advanced Google Product Feed - Brand","Advanced Google Product Feed - Product Type","Advanced Google Product Feed - Google Product Category","Advanced Google Product Feed - Global Trade Item Number (GTIN)","Advanced Google Product Feed - Manufacturer Part Number (MPN)","Advanced Google Product Feed - Gender","Advanced Google Product Feed - Age Group","Advanced Google Product Feed - Colour","Advanced Google Product Feed - Size","WordPress SEO - Focus Keyword","WordPress SEO - Meta Description","WordPress SEO - SEO Title","WordPress SEO - Google+ Description","WordPress SEO - Facebook Description"
"881314327300","1003","","Variation #1003 of Himalayan Dried Apple Slices (Copy)","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/dried-black-currants/?attribute_size=100+g","","","16/08/2015","16/08/2015","Variation","","No","No","No","120","","","","","","","","","","","","Dehydrates","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","0","","","","","","","","",,,"","","","","",""
"","1002","881314327300","Dried Black Currants (Imported from Greece)","dried-black-currants","http://sattvicfoods.in/product/dried-black-currants/","http://sattvicfoods.in/product/dried-black-currants/","<h3>Source of our Black Currants</h3>
Our Black Currants are imported from Greece - they are the special seedless, mini-raisin made from black Corinthian grapes.
<h3>About our Dried Black Currants</h3>
The currant is one of the oldest known raisins. Our Currants are without added sugars and oils. Dried black currants have a distinct aroma and flavor that is hard to resist.

The currants are simply dried to perfection maintaining their wonderful aroma and flavour. Black currants have the highest Vitamin C content of any berries. A few tablespoons of dried black currants are over 100% the recommended daily value. Black currants are an extremely popular berry throughout Europe where they are renowned for their delicious flavor.
<h3>Ingredients</h3>
Dried Black Currants (Imported from Greece)
<h3>Why buy our Dried Black Currants?</h3>
<ul>
	<li>Tiny Black Currants, Big Benefits. Dried Black Currants are nutrition powerhouses. They are a great <em>(and delicious!)</em> source of nutrients essential for your health.</li>
	<li>We are sure to dry our black currants slowly below 50 degrees, in turn maintaining all the nutrients in the fruit.</li>
</ul>
<h3>How to Use Dried Black Currants</h3>
These tiny black currants are a great raw treat on their own.  Following are a few more ways to enjoy them:
<ul>
	<li>Add them to your favourite trail mix</li>
	<li>Add them to pancakes, muffins or any other baked goodies</li>
	<li>Add to ice creams, cakes or desserts</li>
	<li>Mix in to yoghurt or cereals</li>
</ul>
Ready to enchant your taste buds with some yummy black currant desserts? Find mouth watering recipes at <a href=""http://www.blackcurrantfoundation.co.uk/recipes_dessert.html"">http://www.blackcurrantfoundation.co.uk/recipes_dessert.html</a>

Read more about the health benefits of these tiny gems at <a href=""http://healthyeating.sfgate.com/health-benefits-dried-black-currants-7419.html"">http://healthyeating.sfgate.com/health-benefits-dried-black-currants-7419.html</a>","","16/08/2015","19/08/2015","Variable","Catalog & Search","No","No","No","120","","","","","","","","","","","","Dehydrates","Gluten-free|Raw|Vegan","http://sattvicfoods.in/wp-content/uploads/2015/05/Black-currants.jpg",,"Taxable","",,,,"","","Standard","No","","In Stock","No","Yes","","","","","","Publish","Closed","0","","","","","","","","",,,"","Dried Black Currants","","Buy Black Currants | Sattvic Foods India","",""
"795525262582","998","","Variation #998 of Rich Dark Cocoa Powder (Dutch-processed) (Copy)","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/carob-powder/?attribute_size=100+g","","","15/08/2015","15/08/2015","Variation","","No","No","No","300","","","","","","","","","","","","Others","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","0","","","","","","","","",,,"","","","","",""
"","996","795525262582","Carob Powder (Caffeine free Cocoa substitute)","carob-powder","http://sattvicfoods.in/product/carob-powder/","http://sattvicfoods.in/product/carob-powder/","<header class=""entry-header"">
<div class=""prodOverviewDetail"">
<h3>Source of our Carob Powder</h3>
Naturally delicious, our Carob Powder originates from Madagascar.

Naturally Sweet, it is derived from the pod (<em>that contains a sweet, edible pulp</em>) of a carob tree. Once dried and roasted, the pulp is ground into a powder!

<header class=""entry-header"">
<h3>About our Carob Powder?</h3>
<p class=""p1"">The magical Carob bean is extremely high in soluble fiber making it a superfood.</p>
<p class=""p1"">It is naturally sweet. And contains no caffeine or theobromine.</p>
<p class=""p1"">An extremely versatile superfood, possessing a wonderfully sweet flavour. It can therefore be used as a healthy alternative to sugar and artificial sweeteners. Its chocolate-like taste means that it can replace cocoa or chocolate. Try using it to add a delicious extra dimension to your favourite smoothies, nut milks, protein shakes or to prepare a tempting range of raw food snacks and desserts, including raw chocolate, cakes and cookies.</p>

</header>
<h3>Ingredients</h3>
<div class=""prodOverviewIngred"">

Carob Powder

</div>
</div>
<h3>Why buy our Carob Powder?</h3>
<ul>
	<li>Carob Powder from Madagascar</li>
	<li>Free from caffeine or theobromine ~ useful for people sensitive to the effects of caffeine or who want to avoid caffeine</li>
	<li><span class=""a-list-item"">Carob powder tastes like a nutty cocoa, with a light natural sweetness. It is lower in fat than cocoa and boasts 3 times more calcium too.</span></li>
</ul>
<div class=""prodOverviewDetail"">
<h3>How to use Carob Powder</h3>
Simply, substitute it for recipes that call for Cocoa or Chocolate. It is similar to cocoa powder in colour, yet has a characteristic special flavour and texture of its own.

It has a sweet and mild taste as compared to the bitterness of Cocoa. You could replace cocoa powder with carob powder one-for-one in your recipes but reduce the amount of sugar or sweeteners in the recipe by about 25%. Alternatively, you could use half cocoa powder and half carob powder.

Enjoy some handpicked favourite recipes :
<span style=""line-height: 1.5;""><a href=""http://www.wholefoodsmarket.com/recipe/carob-cake"">http://www.wholefoodsmarket.com/recipe/carob-cake</a>
</span><a href=""http://www.wholefoodsmarket.com/recipe/chocolate-earth-balls"">http://www.wholefoodsmarket.com/recipe/chocolate-earth-balls</a>  <em>The best part? No baking required... </em>

</div>
Read about the various Health Benefits of this superfood here : <a href=""http://www.livestrong.com/article/250365-what-are-the-benefits-of-carob/"">http://www.livestrong.com/article/250365-what-are-the-benefits-of-carob/</a>
<h3>Storage tips</h3>
Store in a cool, dark place, in an airtight container.
<p class=""p1""></p>

</header>","Similar to Cocoa powder but higher in fiber, caffeine free with a naturally sweet flavour and mild taste.

Imported from Madagascar","15/08/2015","21/08/2015","Variable","Catalog & Search","No","No","No","300","","","","","","","","","","","","Others","Fiber|Gluten-free|Oil-free|Pitta|Salt-free|Vegan","http://sattvicfoods.in/wp-content/uploads/2015/05/carob-powder.jpeg",,"Taxable","",,,,"","","Standard","No","","In Stock","No","Yes","","","","","","Publish","Closed","0","","","","","","","","",,,"","Carob Powder","","Buy Carob Powder | Caffeine free | Sattvic Foods India","",""
"","937","","Health Benefits of Forest Honey","health-benefits-of-forest-honey","http://sattvicfoods.in/product/health-benefits-of-forest-honey/","http://sattvicfoods.in/product/health-benefits-of-forest-honey/","","","14/08/2015","15/08/2015","Simple Product","","No","No","No","","","","","","","","","","","","","Uncategorized","","",,"","",,,,"","","Standard","No","","","No","No","","","","","","Trash","Closed","0","","","","","","","","",,,"","","","","",""
"795525262650","925","","Variation #925 of Gluten-free Steel cut Oats (Copy)","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/black-rice/?attribute_size=250+g","","","13/08/2015","13/08/2015","Variation","","No","No","No","200","","","","","","","","","","","","Grains","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","0","","","","","","","","",,,"","","","","",""
"795525262650","924","","Variation #924 of Gluten-free Steel cut Oats (Copy)","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/black-rice/?attribute_size=5+kgs+%28Bulk+packing%29","","","13/08/2015","13/08/2015","Variation","","No","No","No","2500","","","","","","","","","","","","Grains","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","1","","","","","","","","",,,"","","","","",""
"795525262650","923","","Variation #923 of Gluten-free Steel cut Oats (Copy)","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/black-rice/?attribute_size=1+kg","","","13/08/2015","13/08/2015","Variation","","No","No","No","600","","","","","","","","","","","","Grains","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","2","","","","","","","","",,,"","","","","",""
"","922","795525262650","Black Rice (Chak-hao)","black-rice","http://sattvicfoods.in/product/black-rice/","http://sattvicfoods.in/product/black-rice/","&nbsp;

Black Rice which is also known as purple rice. This rice has a deep black color and usually turns deep purple when cooked.  It is suitable for making porridge,  traditional Chinese black rice cake or bread. Noodles have been produced from this rice. It is also commonly used as a  dressing, or as a decoration for different types of desserts in many countries around the world. It is High in nutritional value, This rice is rich in iron and high in fiber.
<h3>Source of Our Black Rice</h3>
This rice has been eaten in regions of Asia for thousands of years; in fact for centuries it was reserved for only Chinese royalty. We import Our Black Rice From Myanmar. Today this type of rice is picking up in popularity and popping up in more health food stores.
<h3>About Our Black Rice</h3>
Our whole grain Black Rice is  the finest variety sourced from the country of Myanmar also called the Golden Land because of its rich agricultural heritage. Our Black rice is a medium-grain rice that is simple to make and easy to use in other recipes.
<h3>Ingredients</h3>
Black Rice
<h3>Why buy Our Black Rice</h3>
In present time Black Rice has quickly become known as a  ‘Super foods’. Its special, near medicinal values are truly stunning, even today with all of our medical knowledge and tools this rice is the kind of food that can save your life. Now every time you have set down to enjoy a few servings of this awesome super food, you can remind for  yourself that you are eating something specifically reserved for kings.
<h3>How to use Black  Rice</h3>
<ul>
	<li>Replace for white rice</li>
	<li>Grind and use as flour</li>
	<li>Use for making some special recipe like <a href=""http://www.epicurious.com/recipes/food/views/black-rice-pudding-233288"" target=""_blank"">Black rice Pudding</a> which is easy to make.</li>
	<li>Black rice can also be steamed after soaking, which gives the rice a sticky texture. In Thailand, sticky black jasmine rice with coconut milk and palm sugar is a popular dessert.</li>
	<li>Black rice is included in individual pieces, rice bed salads, and hand rolls.</li>
</ul>
Read more about the<a href=""http://sattvicfoods.in/products/health-benefits-of-black-rice"" target=""_blank""> Health Benefits of Black Rice</a>

&nbsp;

&nbsp;

&nbsp;

&nbsp;","Our Black Rice is of the highest grade and freshness, Lab tested Gluten-free","13/08/2015","19/08/2015","Variable","Catalog & Search","Yes","No","No","200","","","","","","","","","","","","Grains","Fiber|Gluten-free|Raw|Vegan|Whole Grain","http://sattvicfoods.in/wp-content/uploads/2015/08/black-rice.jpg",,"Taxable","",,,,"","","Standard","No","","In Stock","No","Yes","","","","","","Publish","Closed","0","","","","","","","","",,,"","Black Rice","Black Rice is a rich source of fiber, vitamin E and antioxidants. It has an incredible flavour and is a great substitute for white rice.","Buy Black Rice| Gluten-free | Sattvic Foods India","",""
"795525262636","905","760079302152","Variation #905 of Organic Whole Grain Dark Rye Flour","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/organic-rye-flour/?attribute_size=250+g","","","10/08/2015","10/08/2015","Variation","","No","No","No","200","","","","","","","","","","","","Grains","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","0","","","","","","","","",,,"","","","","",""
"795525262636","904","","Variation #904 of Organic Whole Grain Dark Rye Flour","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/organic-rye-flour/?attribute_size=600+g","","","10/08/2015","10/08/2015","Variation","","No","No","No","400","","","","","","","","","","","","Grains","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","1","","","","","","","","",,,"","","","","",""
"","903","795525262636","Organic Rye Flour","organic-rye-flour","http://sattvicfoods.in/product/organic-rye-flour/","http://sattvicfoods.in/product/organic-rye-flour/","Our Rye Flour is 100% stone ground from organic Himalayan Rye grains.

The distinctive flavor of rye has caused it to gain worldwide popularity while remaining a staple in Eastern European countries and Scandinavia, where it can withstand the cold weather conditions better than other grains.

Rye is rich in dietary fiber and iron. It is also a nutritious source of antioxidants and nutrients including selenium, phosphorous, magnesium, copper, zinc and protein.
<h3>Source of our Rye</h3>
A popular grain and staple in Eastern Europe but grows just as easily in our Himalayas. Our Rye is farmed at altitudes as high as 4,400 meters. This magical grain grows in much poorer soils than those necessary for most cereal grains and is hence grown Organically by default. Rye plant also has superior tolerance to cold than most other grains.
<h3></h3>
<h3>Ingredients</h3>
Organic Rye Grains
<h3>Why Buy Our Rye Flour</h3>
<ul>
	<li>The dietary fibre content of rye is the highest among common cereals. Typical rye bread contains about three times more fibre than white wheat bread.</li>
	<li>Rye flour is a complete protein containing all 9 essential amino acids, Vitamins E , B and several minerals.</li>
	<li>Ours is organically and sustainably grown by independent farmers in the Himalayan mountains near Kullu, Himachal Pradesh.</li>
</ul>
<h3>How to use our Rye Flour</h3>
Add rye flour to your baked goods for its delicious and unmistakable flavor. Our Rye Flour makes an outstanding, dark and aromatic bread.

Rye flour can be used in pancakes, waffles, crackers and makes a fabulous pizza crust!
<ul>
	<li>Bake into Breads and Pizza Crust</li>
	<li>Make pancakes and Crepes</li>
</ul>
Here are some of our handpicked favourite recipes:
<ul>
	<li><a href=""http://allrecipes.com/recipe/rye-pizza-dough/"" target=""_blank"">Rye Pizza Crust</a></li>
	<li><a href=""http://www.veginspirations.com/2009/02/rye-crepes-dosai.html"" target=""_blank"">Rye Dosa</a></li>
</ul>
Read more about <a href=""http://www.livestrong.com/article/465457-rye-vs-wheat/"" target=""_blank"">Rye v/s Wheat</a>","Organically grown in the Himalayan region and Stone-ground.","10/08/2015","21/08/2015","Variable","Catalog & Search","No","No","No","200","","","","","","","","","","","","Grains","Fiber|Kapha|Paleo|Protein|Raw|Stone Ground|Vegan|Whole Grain","http://sattvicfoods.in/wp-content/uploads/2015/08/SF_Rye_flour.jpg",,"Taxable","",,,,"","","Standard","No","","In Stock","No","Yes","","881314327430|881314327430|795525262612","","","","Publish","Closed","0","","","","","","","","",,,"","Rye Flour","Buckwheat flour is naturally Gluten-free and full of Proteins and Fiber. It can be used in breads, muffins, waffles and any recipe calling for regular flour","Buy Organic Rye Flour | Whole Grain | Sattvic Foods India","",""
"795525262667","898","760079302152","Variation #898 of Organic Gluten-free Buckwheat Flour","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/organic-gluten-free-buckwheat-flour/?attribute_size=250+g","","","10/08/2015","10/08/2015","Variation","","No","No","No","200","","","","","","","","","","","","Grains","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","0","","","","","","","","",,,"","","","","",""
"795525262667","897","","Variation #897 of Organic Gluten-free Buckwheat Flour","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/organic-gluten-free-buckwheat-flour/?attribute_size=500+g","","","10/08/2015","10/08/2015","Variation","","No","No","No","350","","","","","","","","","","","","Grains","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","1","","","","","","","","",,,"","","","","",""
"","896","795525262667","Organic Gluten-free Buckwheat Flour","organic-gluten-free-buckwheat-flour","http://sattvicfoods.in/product/organic-gluten-free-buckwheat-flour/","http://sattvicfoods.in/product/organic-gluten-free-buckwheat-flour/","Our Organic Buckwheat Flour is ground from whole grain buckwheat. The triangular kernels are stone-ground into a nutritious flour rich in Fiber, Protein and Calcium.

Buckwheat has a great flavour that suits bread baking and can be substituted in many recipes where regular flour is used.
<h3>Source of our Buckwheat</h3>
A popular grain and staple in Eastern Europe but grows wildly in our Himalayas. Our Buckwheat is farmed at altitudes as high as 4,400 meters and the period between sowing to harvest is only 30 days. Buckwheat grows so fast it crowds out most weeds. Hence no pesticides or fertilizers are needed to grow this crop and it is by default organic.
<h3>About our Buckwheat</h3>
They are gluten free seeds from a plant related to rhubarb. The outer husk is pulled away and the grain-like fruit is harvested and eaten.

Naturally Gluten-free and full of Proteins and Fibre. Enjoy this nutrient rich superfood brought to you in a convenient way, peeled and ready to cook, soak or sprout.

First cultivated in Southeast Asia thousands of years ago, in time buckwheat journeyed west and took root in Eastern Europe, where it became the star of many classic dishes. They are very nutritious, and growing in popularity in many nations across the globe. They are a complete protein because they include all the essential amino acids.
<h3>Ingredients</h3>
Organic peeled buckwheat groats
<h3>Why Buy Our Buckwheat Flour</h3>
<ul>
	<li>Buckwheat is one of the most efficient producers of plant protein, unmatched by any other grain</li>
	<li>The human body can digest 74 percent of its protein content which includes 8 essential amino acids, Vitamin E and nearly the entire spectrum of B-complex</li>
	<li>Ours is organically and sustainably grown by independent farmers in the Himalayan mountains near Kullu, Himachal Pradesh.</li>
</ul>
<h3>How to use our Buckwheat Flour</h3>
Buckwheat has a great flavour that suits bread baking and can be substituted in many recipes where regular flour is used.

You can add a little buckwheat flour to almost any recipe that calls for regular flour. In wheat bread, use half buckwheat flour to add a rich, earthy and nutlike flavor and darker color. Buckwheat flour is a must-have for making traditional Russian blini, or buckwheat crepes.
<ul>
	<li>Bake into Breads and Muffins</li>
	<li>Make pancakes and Crepes</li>
</ul>
Here are some of our handpicked favourite recipes:
<ul>
	<li><a href=""http://www.davidlebovitz.com/2013/01/buckwheat-chocolate-cake-recipe/"" target=""_blank"">Chocolate Buckwheat Cake</a></li>
	<li><a href=""http://www.food.com/recipe/healthy-buckwheat-sugar-dairy-wheat-free-muffins-282052"" target=""_blank"">Buckwheat Muffins</a></li>
	<li><a href=""http://cookieandkate.com/2015/gluten-free-buckwheat-waffles/"" target=""_blank"">Buckwheat Waffles</a></li>
	<li><a href=""http://recipes.sparkpeople.com/recipe-detail.asp?recipe=608525"" target=""_blank"">Buckwheat Crackers</a></li>
</ul>","Organically grown in the Himalayan region, our buckwheat is soaked, hulled and sun dried and stone-ground.

Lab tested Gluten-free","10/08/2015","13/08/2015","Variable","Catalog & Search","No","No","No","200","","","","","","","","","","","","Grains","Fiber|Gluten-free|Kapha|Paleo|Protein|Raw|Vegan","http://sattvicfoods.in/wp-content/uploads/2015/08/SF_buckwheat-flour.jpg","901","Taxable","",,,,"","","Standard","No","","In Stock","No","Yes","","881314327430|881314327430|795525262612","","","","Publish","Closed","0","","","","","","","","",,,"","Buckwheat Flour","Buckwheat flour is naturally Gluten-free and full of Proteins and Fiber. It can be used in breads, muffins, waffles and any recipe calling for regular flour","Buy Organic Buckwheat Flour | Sattvic Foods India","",""
"795525262612","800","","Variation #800 of Whole Grain Gluten-free Oat Flour","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/whole-grain-gluten-free-oat-flour/?attribute_size=500+g","","","13/07/2015","13/07/2015","Variation","","No","No","No","150","","","","","","","","","","","","Grains","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","0","","","","","","","","",,,"","","","","",""
"795525262612","799","","Variation #799 of Whole Grain Gluten-free Oat Flour","","http://sattvicfoods.in/product_variation/","http://sattvicfoods.in/product/whole-grain-gluten-free-oat-flour/?attribute_size=5+kgs+%28Bulk+packing%29","","","13/07/2015","13/07/2015","Variation","","No","No","No","1300","","","","","","","","","","","","Grains","","",,"","",,,,"","","Standard","No","","In Stock","No","No","","","","","","Publish","Closed","1","","","","","","","","",,,"","","","","",""
